gamma,f_star,own_avoidable,own_missed,own_payoff,forced_wait2_avoidable,forced_wait2_missed,forced_wait2_payoff,f1.25_avoidable,f1.25_missed,f1.25_payoff,f1.5_avoidable,f1.5_missed,f1.5_payoff,f2.0_avoidable,f2.0_missed,f2.0_payoff,fstar_avoidable,fstar_missed,fstar_payoff
1.0,1.0,0.0020833333333333333,0.017583333333333333,4.658758333333333,0.00175,0.010683333333333333,4.476016666666666,0.0006166666666666666,0.009433333333333334,4.546025,0.00028333333333333335,0.005633333333333333,4.272616666666667,8.333333333333333e-05,0.0019833333333333335,3.6534166666666668,0.0020833333333333333,0.017583333333333333,4.658758333333333
2.0,1.8666666666666685,0.015783333333333333,0.04446666666666667,3.6786083333333335,0.009333333333333334,0.021183333333333332,3.9895416666666668,0.00875,0.03228333333333333,4.3141,0.005333333333333333,0.023266666666666668,4.53205,0.0015666666666666667,0.011216666666666666,4.638558333333333,0.002116666666666667,0.013816666666666666,4.660891666666667
4.0,3.5686274509803946,0.04473333333333333,0.07163333333333333,0.9563083333333333,0.021433333333333332,0.030766666666666668,2.8564083333333334,0.03495,0.0625,1.8934833333333334,0.0261,0.054066666666666666,2.753925,0.0141,0.03888333333333333,3.854633333333333,0.00215,0.011666666666666667,4.654225
6.0,5.250000000000002,0.0613,0.08223333333333334,-0.6331166666666667,0.027533333333333333,0.0343,2.2696916666666667,0.052,0.07673333333333333,0.2469,0.04365,0.07055,1.0618166666666666,0.030766666666666668,0.057916666666666665,2.3181083333333334,0.0021666666666666666,0.0112,4.644225
