person,delta,random_payoff,random_avoidable,random_missed,mirror_payoff,mirror_avoidable,mirror_missed
calibrated,0.0,4.5229,0.0019833333333333335,0.01135,4.5229,0.0019833333333333335,0.01135
calibrated,1.0,4.411933333333334,0.0014666666666666667,0.0191,4.399441666666666,0.00395,0.017666666666666667
overconfident,0.0,3.923875,0.0105,0.0224,3.923875,0.0105,0.0224
overconfident,1.0,3.9927166666666665,0.0089,0.02811666666666667,3.6976,0.013033333333333333,0.02535
anxious,0.0,4.468508333333333,0.0028,0.0183,4.351275,0.00465,0.021066666666666668
anxious,1.0,4.316716666666666,0.0028666666666666667,0.025183333333333332,4.0000333333333336,0.008983333333333333,0.0232
fearful,0.0,4.481375,0.0011833333333333333,0.016833333333333332,4.49465,0.00175,0.016566666666666667
fearful,1.0,4.288358333333333,0.0010666666666666667,0.029033333333333335,4.3616166666666665,0.0035,0.024916666666666667
