step,x,belief_true,belief_perceived
1,-0.38527387704271776,0.3791516569725964,0.2716432934498538
2,2.017118745735103,0.889806041109394,0.9848952029512603
3,0.5398633498139951,0.9415737014434968,0.9961643488435807
4,-2.1221964986666633,0.5158384495865953,0.5316451456131683
5,-1.0208064826842789,0.22386951510043793,0.0768089810910492
6,-1.1961638345215337,0.05872626053583163,0.0038774444452639332
7,-1.188595995118936,0.013443168444946644,0.00018564293808399508
8,-3.9553347722014447,8.621515310449589e-05,7.434334418872375e-09
