step_cost,person,device,payoff,avoidable,missed,wrong,steps
-1.0,calibrated,own,3.11878,0.00435,0.04291,0.02773,2.83282
-1.0,overconfident,own,2.10624,0.02177,0.06339,0.0432,1.92776
-1.0,anxious,own,2.73403,0.00766,0.10798,0.02762,1.99557
-1.0,fearful,own,2.88563,0.00192,0.09274,0.02296,2.59317
-1.0,population (equal mix),own,2.71117,0.008925,0.076755,0.0303775,2.33733
-1.0,calibrated,procedure,2.52422,0.00369,0.02165,0.02824,3.77818
-1.0,overconfident,procedure,2.02231,0.01274,0.02856,0.03658,3.32209
-1.0,anxious,procedure,2.4799,0.00448,0.02876,0.02866,3.6457
-1.0,fearful,procedure,2.45039,0.00226,0.0352,0.02618,3.79961
-1.0,population (equal mix),procedure,2.3692050000000004,0.005792499999999999,0.0285425,0.029915,3.636395
-1.0,calibrated,interval only,2.52422,0.00369,0.02165,0.02824,3.77818
-1.0,overconfident,interval only,2.02231,0.01274,0.02856,0.03658,3.32209
-1.0,anxious,interval only,2.36775,0.00595,0.04365,0.02932,3.41025
-1.0,fearful,interval only,2.41725,0.00194,0.03931,0.02568,3.80415
-1.0,population (equal mix),interval only,2.3328825,0.00608,0.0332925,0.029955000000000002,3.5786675
-1.0,calibrated,relief only,3.11878,0.00435,0.04291,0.02773,2.83282
-1.0,overconfident,relief only,2.10624,0.02177,0.06339,0.0432,1.92776
-1.0,anxious,relief only,3.01461,0.00552,0.06415,0.02776,2.53199
-1.0,fearful,relief only,2.9372,0.00251,0.08118,0.02406,2.6526
-1.0,population (equal mix),relief only,2.7942074999999997,0.0085375,0.0629075,0.0306875,2.4862925
-1.0,population (equal mix),act at once,-41.0,0.5,0.0,0.5,1
-1.0,population (equal mix),never act,0.0,0.0,0.5,0.0,0
-0.5,calibrated,own,4.698345,0.00237,0.01795,0.02707,3.58411
-0.5,overconfident,own,3.642355,0.01667,0.0446,0.03936,2.25249
-0.5,anxious,own,4.16354,0.00611,0.07483,0.02786,2.33852
-0.5,fearful,own,4.649975,0.00107,0.03339,0.02494,3.52245
-0.5,population (equal mix),own,4.28855375,0.006555000000000001,0.0426925,0.0298075,2.9243924999999997
-0.5,calibrated,procedure,4.51629,0.00207,0.01127,0.02714,4.18662
-0.5,overconfident,procedure,3.92841,0.01048,0.02208,0.03472,3.44718
-0.5,anxious,procedure,4.447265,0.00298,0.01835,0.0277,3.94347
-0.5,fearful,procedure,4.48327,0.00131,0.01645,0.02617,4.24786
-0.5,population (equal mix),procedure,4.34380875,0.004209999999999999,0.017037499999999997,0.0289325,3.9562824999999995
-0.5,calibrated,interval only,4.51629,0.00207,0.01127,0.02714,4.18662
-0.5,overconfident,interval only,3.92841,0.01048,0.02208,0.03472,3.44718
-0.5,anxious,interval only,4.23912,0.00495,0.03294,0.02895,3.55496
-0.5,fearful,interval only,4.4709,0.0011,0.01811,0.0259,4.2626
-0.5,population (equal mix),interval only,4.288679999999999,0.00465,0.021099999999999997,0.029177500000000002,3.8628399999999994
-0.5,calibrated,relief only,4.698345,0.00237,0.01795,0.02707,3.58411
-0.5,overconfident,relief only,3.642355,0.01667,0.0446,0.03936,2.25249
-0.5,anxious,relief only,4.563355,0.00363,0.03539,0.0274,3.12769
-0.5,fearful,relief only,4.663705,0.00138,0.02969,0.02542,3.54019
-0.5,population (equal mix),relief only,4.39194,0.0060125000000000005,0.0319075,0.0298125,3.1261200000000002
-0.5,population (equal mix),act at once,-40.5,0.5,0.0,0.5,1
-0.5,population (equal mix),never act,0.0,0.0,0.5,0.0,0
-1.0,calibrated,compressed interval,0.278,0.012,0.32672,0.02065,1.0
-1.0,overconfident,compressed interval,-0.7702,0.04047,0.21104,0.05341,1.0
-1.0,anxious,compressed interval,0.278,0.012,0.32672,0.02065,1.0
-1.0,fearful,compressed interval,-0.2676,0.00189,0.43419,0.0056,1.0
-1.0,population (equal mix),compressed interval,-0.12044999999999999,0.01659,0.3246675,0.0250775,1.0
-0.5,calibrated,compressed interval,0.778,0.012,0.32672,0.02065,1.0
-0.5,overconfident,compressed interval,-0.2702,0.04047,0.21104,0.05341,1.0
-0.5,anxious,compressed interval,0.778,0.012,0.32672,0.02065,1.0
-0.5,fearful,compressed interval,0.2324,0.00189,0.43419,0.0056,1.0
-0.5,population (equal mix),compressed interval,0.37955,0.01659,0.3246675,0.0250775,1.0
