R_OK,R_BAD,Q,C,step_over_catastrophe,own_payoff,proc_payoff,d_payoff,own_avoidable,proc_avoidable,own_missed,proc_missed,overconf_d_payoff,calibrated_d_payoff
20,-100,0.95,-1.0,0.01,2.672416666666667,2.3284625,-0.3439541666666668,0.008379166666666665,0.005625,0.0770125,0.0279375,-0.07381666666666686,-0.5690166666666663
20,-100,0.95,-0.5,0.005,4.245029166666667,4.295014583333333,0.049985416666666005,0.006045833333333334,0.004091666666666667,0.04268333333333334,0.0172625,0.29703333333333326,-0.1795666666666671
20,-100,0.95,-0.25,0.0025,5.214267708333333,5.3720937499999994,0.15782604166666658,0.004508333333333334,0.0030625,0.027716666666666664,0.011795833333333334,0.3387416666666665,-0.06306250000000002
20,-300,0.99,-1.0,0.0033333333333333335,3.206716666666667,3.071083333333333,-0.13563333333333372,0.0041375,0.003,0.059345833333333334,0.02402083333333333,0.5454333333333332,-0.46389999999999976
50,-1000,0.99,-1.0,0.001,12.601904166666667,12.761187500000002,0.15928333333333455,0.0020749999999999996,0.0016958333333333333,0.023495833333333334,0.012283333333333334,1.1412166666666668,-0.2514500000000002
50,-1000,0.99,-0.25,0.00025,16.760659375,17.01953125,0.25887187500000053,0.0010916666666666666,0.0009041666666666667,0.010062499999999999,0.005641666666666667,0.7354583333333338,-0.01982500000000087
