step_cost,person,device,pay_mean,pay_halfwidth95,pay_diff_vs_own,pay_diff_halfwidth95,avoidable_mean,avoidable_halfwidth95,avoidable_diff_vs_own,avoidable_diff_halfwidth95,missed_mean,missed_halfwidth95,missed_diff_vs_own,missed_diff_halfwidth95
-1.0,overconfident,agent-timed prompt,2.10624,0.14947520142981435,0.0,0.0,0.02177,0.0009044986981154526,0.0,0.0,0.06339,0.001510247111948833,0.0,0.0
-1.0,anxious,agent-timed prompt,2.10624,0.14947520142981435,-0.62779,0.07990517647623518,0.02177,0.0009044986981154526,0.01411,0.0007310313139354699,0.06339,0.001510247111948833,-0.04459,0.0012792984400503999
-1.0,fearful,agent-timed prompt,0.84064,0.09955393259191998,-2.04499,0.08995318992995381,0.00561,0.00046293290105058277,0.00369,0.00045446807293218414,0.26411,0.002732480781707096,0.17137,0.0025660587465575497
-1.0,population (equal mix),compressed interval,-0.12045,0.09025832185975655,-2.83162,0.09104674686398735,0.01659,0.0005906437385689102,0.007665,0.000508328750421993,0.3246675,0.0026106998675468397,0.2479125,0.002276366109549197
-1.0,calibrated,compressed interval,0.278,0.10217023984230973,-2.84078,0.11551769155307735,0.012,0.0006748812122488715,0.00765,0.000711337149068848,0.32672,0.0029069928256152404,0.28381,0.0028075516157967874
-1.0,overconfident,compressed interval,-0.7702,0.15746860622344636,-2.87644,0.12869618271065783,0.04047,0.001221389336053292,0.0187,0.0011237252584793869,0.21104,0.0025291123629739834,0.14765,0.002262682356176944
-1.0,anxious,compressed interval,0.278,0.10217023984230973,-2.45603,0.10768095959406311,0.012,0.0006748812122488715,0.00434,0.0006990716262313797,0.32672,0.0029069928256152404,0.21874,0.002596497506093813
-1.0,fearful,compressed interval,-0.2676,0.05589004640929112,-3.15323,0.10734167391938375,0.00189,0.0002692020410468484,-3e-05,0.0003533457428040411,0.43419,0.0030720866471546787,0.34145,0.0029435529856623598
-0.5,population (equal mix),own,4.28855375,0.12337779449215334,0.0,0.0,0.006555,0.00035460916207590893,0.0,0.0,0.0426925,0.001059796808987394,0.0,0.0
-0.5,calibrated,own,4.698345,0.12529628157815134,0.0,0.0,0.00237,0.00030138189972208815,0.0,0.0,0.01795,0.0008229193403501993,0.0,0.0
-0.5,overconfident,own,3.642355,0.14453581030526,0.0,0.0,0.01667,0.0007935525422263941,0.0,0.0,0.0446,0.0012794351874886002,0.0,0.0
-0.5,anxious,own,4.16354,0.12534182978480962,0.0,0.0,0.00611,0.0004830009761334126,0.0,0.0,0.07483,0.0016308232196106777,0.0,0.0
