agent_gamma,follower_share,arrangement,payoff,avoidable,missed,diff_vs_A,hw_diff_vs_A
1.5,0.75,decide at hand-off,4.17702,0.008146875,0.047151875,-0.21129,0.006493095573528328
1.5,0.75,A: may continue,4.38831,0.0077025,0.031170625,0.0,0.0
1.5,0.75,B: may continue + relief,4.4102409375,0.007476875,0.030591875,0.0219309375,0.002866167624409762
1.5,0.75,C: required checks,4.4144871875,0.00234,0.031661875,0.0261771875,0.04057435128995796
1.5,0.75,D: required checks + relief,4.42264125,0.002303125,0.03099,0.03433125,0.04058251105767122
1.5,0.86,decide at hand-off,4.253921,0.00833745,0.04042345,-0.1183224,0.0036361335211758617
1.5,0.86,A: may continue,4.3722434,0.0080886,0.031473949999999994,0.0,0.0
1.5,0.86,B: may continue + relief,4.384524725,0.007962249999999999,0.031149849999999996,0.012281324999999978,0.0016050538696694664
1.5,0.86,C: required checks,4.416864425,0.0023576,0.031942649999999996,0.044621024999999793,0.04343854151347021
1.5,0.86,D: required checks + relief,4.4214307,0.00233695,0.0315664,0.049187299999999795,0.043433480850531954
1.5,1.0,decide at hand-off,4.351795,0.00858,0.03186,0.0,0.0
1.5,1.0,A: may continue,4.351795,0.00858,0.03186,0.0,0.0
1.5,1.0,B: may continue + relief,4.351795,0.00858,0.03186,0.0,0.0
1.5,1.0,C: required checks,4.41989,0.00238,0.0323,0.068095,0.04711649966094656
1.5,1.0,D: required checks + relief,4.41989,0.00238,0.0323,0.068095,0.04711649966094656
2.0,0.0,decide at hand-off,2.831255,0.01273,0.130025,-1.42824125,0.038969057173014056
2.0,0.0,A: may continue,4.25949625,0.0071425,0.0400775,0.0,0.0
2.0,0.0,B: may continue + relief,4.39470875,0.0061675,0.03196,0.1352125,0.014718025724433616
2.0,0.0,C: required checks,4.3400675,0.00303,0.0409875,0.08057125,0.02392322988787721
2.0,0.0,D: required checks + relief,4.41494,0.0029075,0.0325025,0.15544375,0.026132046503582414
2.0,0.25,decide at hand-off,3.03403,0.013715,0.10866875,-1.0711809375,0.029226792879760537
2.0,0.25,A: may continue,4.1052109375,0.009524375,0.041208125,0.0,0.0
2.0,0.25,B: may continue + relief,4.2066203125,0.008793125,0.03512,0.101409375,0.011038519293325213
2.0,0.25,C: required checks,4.325344375,0.0033375,0.042180625,0.2201334375,0.033234911730832865
2.0,0.25,D: required checks + relief,4.38149875,0.003245625,0.035816875,0.2762878125,0.03402999741665556
2.0,0.46,decide at hand-off,3.2043609999999996,0.0145424,0.0907295,-0.771250275,0.021043290873427593
2.0,0.46,A: may continue,3.9756112750000008,0.011525149999999998,0.04215785,0.0,0.0
2.0,0.46,B: may continue + relief,4.048626025000001,0.010998649999999997,0.0377744,0.07301474999999982,0.007947733891194153
2.0,0.46,C: required checks,4.31297695,0.0035957999999999997,0.04318285,0.3373656749999999,0.04210207931226021
2.0,0.46,D: required checks + relief,4.3534081,0.0035296499999999996,0.03860095,0.3777968249999998,0.042347205968372825
2.0,0.59,decide at hand-off,3.309804,0.0150546,0.07962425000000001,-0.5855789125000003,0.015977313440935764
2.0,0.59,A: may continue,3.8953829125,0.012763725,0.04274577500000001,0.0,0.0
2.0,0.59,B: may continue + relief,3.9508200374999998,0.012363975000000001,0.0394176,0.055437124999999816,0.006034390547017784
2.0,0.59,C: required checks,4.305320925,0.0037556999999999994,0.043803274999999996,0.40993801250000006,0.04782488825933611
2.0,0.59,D: required checks + relief,4.33601865,0.003705475,0.040324425000000004,0.44063573749999996,0.0479016507325459
2.0,0.75,decide at hand-off,3.43958,0.015685,0.06595625,-0.3570603125,0.009742264293253514
2.0,0.75,A: may continue,3.7966403125,0.014288125,0.043469375,0.0,0.0
2.0,0.75,B: may continue + relief,3.8304434375,0.014044375,0.04144,0.033803125,0.003679506431108404
2.0,0.75,C: required checks,4.295898125,0.0039525,0.044566875,0.4992578125,0.05501584940040496
2.0,0.75,D: required checks + relief,4.31461625,0.003921875,0.042445625,0.5179759375,0.05499948716643441
2.0,0.86,decide at hand-off,3.5288009999999996,0.0161184,0.0565595,-0.19995377500000003,0.005455668004221967
2.0,0.86,A: may continue,3.728754775000001,0.015336149999999998,0.043966849999999995,0.0,0.0
2.0,0.86,B: may continue + relief,3.747684525,0.015199650000000002,0.04283039999999999,0.018929749999999978,0.0020605236014207065
2.0,0.86,C: required checks,4.28941995,0.0040878,0.045091849999999996,0.5606651749999997,0.060025800233421675
2.0,0.86,D: required checks + relief,4.299902100000001,0.00407065,0.043903950000000004,0.5711473249999998,0.05999725465523436
2.0,1.0,decide at hand-off,3.642355,0.01667,0.0446,0.0,0.0
2.0,1.0,A: may continue,3.642355,0.01667,0.0446,0.0,0.0
2.0,1.0,B: may continue + relief,3.642355,0.01667,0.0446,0.0,0.0
2.0,1.0,C: required checks,4.281175,0.00426,0.04576,0.63882,0.06645817920505942
2.0,1.0,D: required checks + relief,4.281175,0.00426,0.04576,0.63882,0.06645817920505942
4.0,0.0,decide at hand-off,0.94625,0.0212175,0.2314675,-2.48554625,0.06241620982068095
4.0,0.0,A: may continue,3.43179625,0.0140375,0.0655375,0.0,0.0
4.0,0.0,B: may continue + relief,3.7166575,0.0132525,0.038945,0.28486125,0.022412515890167645
4.0,0.0,C: required checks,4.08605875,0.0044675,0.06732,0.6542625,0.031290119039783036
4.0,0.0,D: required checks + relief,4.3243725,0.0043575,0.0404775,0.89257625,0.036781229923361636
4.0,0.25,decide at hand-off,0.942225,0.027165625,0.191735625,-1.8641596875,0.04681215736551071
4.0,0.25,A: may continue,2.8063846875,0.021780625,0.067288125,0.0,0.0
4.0,0.25,B: may continue + relief,3.020030625,0.021191875,0.04734375,0.2136459375,0.01680938691762573
4.0,0.25,C: required checks,3.9404878125,0.006223125,0.0701125,1.134103125,0.049977043422165426
4.0,0.25,D: required checks + relief,4.119223125,0.006140625,0.049980625,1.3128384375,0.05160873527983416
4.0,0.46,decide at hand-off,0.9388439999999999,0.03216205,0.15836085,-1.342194975,0.03370475330316771
4.0,0.46,A: may continue,2.2810389750000004,0.028284849999999997,0.06875865,0.0,0.0
4.0,0.46,B: may continue + relief,2.43486405,0.027860950000000002,0.05439869999999999,0.15382507499999984,0.012102758580690527
4.0,0.46,C: required checks,3.8182082250000002,0.00769785,0.0724582,1.5371692499999998,0.06636555963813633
4.0,0.46,D: required checks + relief,3.94689765,0.007638450000000001,0.05796324999999999,1.665858675,0.06674153156474404
4.0,0.59,decide at hand-off,0.9367510000000001,0.035255075,0.137700275,-1.0190739625000003,0.02559064602647919
4.0,0.59,A: may continue,1.9558249625,0.032311274999999993,0.069668975,0.0,0.0
4.0,0.59,B: may continue + relief,2.072618075,0.031989425,0.05876604999999999,0.11679311249999987,0.009189131514968734
4.0,0.59,C: required checks,3.7425113375,0.008610775,0.07391029999999998,1.7866863750000002,0.07663841923319305
4.0,0.59,D: required checks + relief,3.840219975,0.008565674999999998,0.062904875,1.8843950124999997,0.07667380073025087
4.0,0.75,decide at hand-off,0.934175,0.039061875,0.112271875,-0.6213865625,0.015604052455170237
4.0,0.75,A: may continue,1.5555615625,0.037266875,0.070789375,0.0,0.0
4.0,0.75,B: may continue + relief,1.626776875,0.037070625,0.06414125,0.0712153125,0.005603128972541911
4.0,0.75,C: required checks,3.6493459375,0.009734375,0.0756975,2.093784375,0.08935672692354787
4.0,0.75,D: required checks + relief,3.708924375,0.009706875,0.068986875,2.1533628125,0.08923837555601735
4.0,0.86,decide at hand-off,0.9324039999999999,0.041679049999999995,0.09478985000000001,-0.34797647500000034,0.008738269374895333
4.0,0.86,A: may continue,1.2803804750000007,0.040673850000000004,0.07155965,0.0,0.0
4.0,0.86,B: may continue + relief,1.3202610500000005,0.04056395,0.0678367,0.039880574999999925,0.0031377522246234697
4.0,0.86,C: required checks,3.5852947250000002,0.01050685,0.07692619999999999,2.30491425,0.09813292820943867
4.0,0.86,D: required checks + relief,3.6186586500000004,0.01049145,0.07316825,2.3382781749999997,0.09802460784543385
4.0,1.0,decide at hand-off,0.93015,0.04501,0.07254,0.0,0.0
4.0,1.0,A: may continue,0.93015,0.04501,0.07254,0.0,0.0
4.0,1.0,B: may continue + relief,0.93015,0.04501,0.07254,0.0,0.0
4.0,1.0,C: required checks,3.503775,0.01149,0.07849,2.573625,0.10932936981461473
4.0,1.0,D: required checks + relief,3.503775,0.01149,0.07849,2.573625,0.10932936981461473
6.0,0.0,decide at hand-off,0.33762,0.0234925,0.267455,-3.0280425,0.06956238462844042
6.0,0.0,A: may continue,3.3656625,0.0139675,0.073295,0.0,0.0
6.0,0.0,B: may continue + relief,3.7166575,0.0132525,0.038945,0.350995,0.025123157698102493
6.0,0.0,C: required checks,3.9795475,0.0051475,0.0749325,0.613885,0.029842690514014305
6.0,0.0,D: required checks + relief,4.28771125,0.0050625,0.04037,0.92204875,0.037449445689765645
6.0,0.25,decide at hand-off,0.0988825,0.032879375,0.22141375,-2.271031875,0.0521717884713303
6.0,0.25,A: may continue,2.369914375,0.025735625,0.07579375,0.0,0.0
6.0,0.25,B: may continue + relief,2.633160625,0.025199375,0.05003125,0.26324625,0.01884236827357687
6.0,0.25,C: required checks,3.746404375,0.007688125,0.079659375,1.37649,0.050084201988263244
6.0,0.25,D: required checks + relief,3.9775271875,0.007624375,0.0537375,1.6076128125,0.05208366113691027
6.0,0.46,decide at hand-off,-0.10165700000000014,0.04076435,0.1827391,-1.63514295,0.03756368769935782
6.0,0.46,A: may continue,1.5334859500000002,0.03562085,0.0778927,0.0,0.0
6.0,0.46,B: may continue + relief,1.7230232499999998,0.03523475,0.05934369999999999,0.18953729999999988,0.013566505156975349
6.0,0.46,C: required checks,3.5505641500000005,0.00982225,0.08362995,2.0170782000000003,0.0708227083479591
6.0,0.46,D: required checks + relief,3.7169725749999993,0.00977635,0.0649662,2.1834866249999996,0.07109360288284064
6.0,0.59,decide at hand-off,-0.22580050000000013,0.045645525,0.15879765,-1.2414974250000002,0.02852057769766057
6.0,0.59,A: may continue,1.015696925,0.041740275,0.07919205,0.0,0.0
6.0,0.59,B: may continue + relief,1.1596048749999999,0.041447124999999994,0.06510855,0.14390794999999992,0.010300494656222025
6.0,0.59,C: required checks,3.4293297249999997,0.011143375,0.086087925,2.4136328,0.08422322419668794
6.0,0.59,D: required checks + relief,3.5556768625000004,0.011108525,0.07191729999999999,2.5399799374999996,0.08409327645263494
6.0,0.75,decide at hand-off,-0.3785925,0.051653125,0.12933125,-0.757010625,0.017390596157110104
6.0,0.75,A: may continue,0.378418125,0.049271875,0.08079125,0.0,0.0
6.0,0.75,B: may continue + relief,0.466166875,0.049093125,0.07220375,0.08774875,0.006280789424525623
6.0,0.75,C: required checks,3.280118125,0.012769375,0.089113125,2.9017,0.10100667229087816
6.0,0.75,D: required checks + relief,3.3571590625,0.012748125,0.0804725,2.9787409375,0.10075063728444832
6.0,0.86,decide at hand-off,-0.483637,0.05578334999999999,0.1090731,-0.4239259500000005,0.009738733847981658
6.0,0.86,A: may continue,-0.05971104999999929,0.054449849999999994,0.0818907,0.0,0.0
6.0,0.86,B: may continue + relief,-0.010571749999999384,0.05434975,0.0770817,0.04913929999999993,0.0035172420777343496
6.0,0.86,C: required checks,3.1775351500000006,0.013887249999999999,0.09119295,3.2372462,0.11266205135819292
6.0,0.86,D: required checks + relief,3.2206780750000013,0.013875350000000002,0.08635419999999998,3.2803891249999997,0.1124680251492782
6.0,1.0,decide at hand-off,-0.61733,0.06104,0.08329,0.0,0.0
6.0,1.0,A: may continue,-0.61733,0.06104,0.08329,0.0,0.0
6.0,1.0,B: may continue + relief,-0.61733,0.06104,0.08329,0.0,0.0
6.0,1.0,C: required checks,3.046975,0.01531,0.09384,3.664305,0.12758694013913277
6.0,1.0,D: required checks + relief,3.046975,0.01531,0.09384,3.664305,0.12758694013913277
