person,delta,own_payoff,own_avoidable,own_missed,payoff,avoidable,missed,go_payoff,go_avoidable,go_missed,go_own_payoff,wait_payoff,wait_avoidable,wait_missed,wait_own_payoff
calibrated,0.0,4.723675,0.0022,0.018283333333333332,4.723675,0.0022,0.018283333333333332,4.623178279097624,0.001863312703799827,0.018965861449391094,4.623178279097624,4.757254352611567,0.0023124986102772776,0.018055277611011052,4.757254352611567
calibrated,0.5,4.723675,0.0022,0.018283333333333332,4.677808333333333,0.0016666666666666668,0.025433333333333332,4.621847341452053,0.0026618752911426098,0.012444266986091702,4.623178279097624,4.6965067929646676,0.0013341338136215063,0.029773419607319947,4.757254352611567
calibrated,1.0,4.723675,0.0022,0.018283333333333332,4.521466666666667,0.0017666666666666666,0.03791666666666667,4.460803886337925,0.0045251879949424366,0.007320157050642178,4.623178279097624,4.541736152802793,0.0008449514152936206,0.048139995108176015,4.757254352611567
calibrated,1.5,4.723675,0.0022,0.018283333333333332,4.2507,0.00255,0.05705,4.075231250415918,0.008518000931656352,0.005124109935449524,4.623178279097624,4.309330042469926,0.000555889089008961,0.07440019567295933,4.757254352611567
calibrated,2.0,4.723675,0.0022,0.018283333333333332,3.8692083333333334,0.0037833333333333334,0.08148333333333334,3.5972915418912623,0.014107939043055833,0.0025287815265854796,4.623178279097624,3.9600649278455964,0.00033353345340537656,0.10786471883129878,4.757254352611567
overconfident,0.0,3.6576416666666667,0.016383333333333333,0.046266666666666664,3.6576416666666667,0.016383333333333333,0.046266666666666664,3.665069541491981,0.014241032807612963,0.04664936447727424,3.665069541491981,3.655159762524181,0.017099148377915638,0.04613879438774376,3.655159762524181
overconfident,0.5,3.6576416666666667,0.016383333333333333,0.046266666666666664,3.7598833333333332,0.01465,0.0529,3.3764557130498436,0.01903240833166966,0.03693351966460371,3.665069541491981,3.8879994663464745,0.013185689191292553,0.05823494096457875,3.655159762524181
overconfident,1.0,3.6576416666666667,0.016383333333333333,0.046266666666666664,3.741833333333333,0.013633333333333334,0.061533333333333336,2.9764091302322484,0.02422306514939775,0.029613362613961535,3.665069541491981,3.997587441353701,0.010094945856402731,0.07219887488048385,3.655159762524181
overconfident,1.5,3.6576416666666667,0.016383333333333333,0.046266666666666664,3.6293583333333332,0.013533333333333333,0.0717,2.4392759699208093,0.031143940906368538,0.02216011179876223,3.665069541491981,4.027005091944055,0.007649033864763302,0.08825295177106264,3.655159762524181
overconfident,2.0,3.6576416666666667,0.016383333333333333,0.046266666666666664,3.3733166666666667,0.014683333333333333,0.08323333333333334,1.6518932588008253,0.0405935981899248,0.016769814334198444,3.665069541491981,3.94850243479421,0.006025837724857136,0.1054410424032197,3.655159762524181
anxious,0.0,4.187025,0.0062,0.07608333333333334,4.589758333333333,0.0033,0.036066666666666664,4.1678977839888205,0.004791375524056698,0.0756638051507287,4.1678977839888205,4.7307162075022795,0.002801681008605163,0.022835923776488114,4.193416049629778
anxious,0.5,4.187025,0.0062,0.07608333333333334,4.50995,0.003416666666666667,0.0406,4.078026219471618,0.008518000931656352,0.049910161708923935,4.1678977839888205,4.654270339981767,0.0017121383941475997,0.03748916016276432,4.193416049629778
anxious,1.0,4.187025,0.0062,0.07608333333333334,4.306425,0.004516666666666667,0.052333333333333336,3.683769215412258,0.015239236041791442,0.03200905037598988,4.1678977839888205,4.514475351877794,0.0009338936695350543,0.059124363506993086,4.193416049629778
anxious,1.5,4.187025,0.0062,0.07608333333333334,3.895208333333333,0.006866666666666667,0.07111666666666666,2.927364077992946,0.025620549677247622,0.01863312703799827,4.1678977839888205,4.218597825361884,0.0006003602161296778,0.08865319191514909,4.193416049629778
anxious,2.0,4.187025,0.0062,0.07608333333333334,3.1757833333333334,0.011083333333333334,0.09891666666666667,1.3960870433220203,0.043122379716510284,0.011579157516470354,4.1678977839888205,3.7704400418028596,0.00037800458052609343,0.12809908167122497,4.193416049629778
fearful,0.0,4.613591666666666,0.00105,0.0345,4.645075,0.00125,0.03075,4.615758301723564,0.0016636720569641313,0.02003061156584814,4.490051241099354,4.654870700197897,0.001111778178017922,0.034331710137193425,4.654870700197897
fearful,0.5,4.613591666666666,0.00105,0.0345,4.516241666666667,0.00115,0.04475,4.623211552538764,0.002462234644306914,0.013043188926598788,4.490051241099354,4.480499410757566,0.00071153803393147,0.05534431770173215,4.654870700197897
fearful,1.0,4.613591666666666,0.00105,0.0345,4.28115,0.0013666666666666666,0.06473333333333334,4.486890264191123,0.004125906701271045,0.007519797697477873,4.490051241099354,4.212405220910324,0.00044471127120716873,0.08385031018611167,4.654870700197897
fearful,1.5,4.613591666666666,0.00105,0.0345,3.895033333333333,0.002,0.0917,4.181306980767951,0.007253610168363612,0.005456844346842351,4.490051241099354,3.799379627776666,0.00024459119916394283,0.12051675449714273,4.654870700197897
fearful,2.0,4.613591666666666,0.00105,0.0345,3.4295833333333334,0.003183333333333333,0.12623333333333334,3.725227923071804,0.012377720103813137,0.0027949690556997404,4.490051241099354,3.3307984790874525,0.00011117781780179218,0.16747826473661975,4.654870700197897
