variant,cal_payoff,lookahead_payoff,lookahead_wait2_payoff,overconf_lookahead_payoff,overconf_lookahead_wait2_payoff,overconf_payoff,overconf_wait2_payoff,overconf_avoidable,overconf_avoidable_wait2,anx_missed,anx_missed_wait_relief,fear_missed,fear_missed_go_relief,cal_missed
main text,4.665216666666667,4.1843916666666665,4.285316666666667,0.7568916666666666,2.8204083333333334,1.0118083333333334,2.8989416666666665,0.04388333333333334,0.020766666666666666,0.141,0.04999666243908951,0.1374,0.025967108329449363,0.017733333333333334
sigma=1.0,5.269158333333333,5.0656,4.914083333333333,2.270958333333333,4.130716666666666,2.370375,4.149658333333333,0.033666666666666664,0.0105,0.06838333333333334,0.02723449702957079,0.05711666666666667,0.014248618416672215,0.010783333333333334
sigma=1.5,3.9984166666666665,3.110175,3.43075,-0.60175,1.356075,-0.0681,1.5926833333333332,0.051533333333333334,0.031516666666666665,0.2371,0.0861090714905547,0.29095,0.04414408416006392,0.02905
H=8,4.504991666666666,4.081658333333333,4.19945,0.7439333333333333,2.8236,1.006025,2.9072666666666667,0.04373333333333333,0.021033333333333334,0.14273333333333332,0.05854081836993525,0.15991666666666668,0.041147879352819765,0.029333333333333333
H=40,4.631366666666667,4.163875,4.276625,0.68895,2.8076666666666665,0.9516416666666667,2.8887583333333335,0.04471666666666667,0.020966666666666668,0.14166666666666666,0.05133168680328416,0.1379,0.025001664558226246,0.018333333333333333
Q=0.90,1.7733,1.4614416666666667,1.4083166666666667,-1.49565,0.10049166666666667,-1.3109,0.16325,0.043116666666666664,0.020533333333333334,0.28103333333333336,0.11177491489219678,0.5,0.3667687595712098,0.03888333333333333
Q=0.99,7.109241666666667,6.514075,6.6856333333333335,2.659025,5.0816083333333335,3.0020416666666665,5.212083333333333,0.04401666666666667,0.020666666666666667,0.09371666666666667,0.03280822375008344,0.014916666666666667,0.013249883480924162,0.012716666666666666
Q=1.0 (no luck),7.687658333333333,7.0507333333333335,7.254091666666667,3.105125,5.6170583333333335,3.4764666666666666,5.747941666666667,0.04385,0.020666666666666667,0.08695,0.030371804285428208,0.0121,0.0120514015580265,0.0118
