step_cost,person,device,payoff,avoidable,missed,wrong,steps
-1.0,calibrated,own,3.11878,0.00435,0.04291,0.02773,2.83282
-1.0,overconfident,own,-0.38526,0.05069,0.0827,0.06979,1.42066
-1.0,anxious,own,2.09874,0.00946,0.17404,0.02594,1.54726
-1.0,fearful,own,0.49144,0.00039,0.36839,0.00735,1.31696
-1.0,population (equal mix),own,1.330925,0.0162225,0.16701,0.0327025,1.7794249999999998
-1.0,calibrated,procedure,2.52422,0.00369,0.02165,0.02824,3.77818
-1.0,overconfident,procedure,1.03779,0.02443,0.03428,0.04737,3.13121
-1.0,anxious,procedure,2.27566,0.00632,0.04977,0.02939,3.37894
-1.0,fearful,procedure,1.93978,0.00151,0.09134,0.02261,3.60082
-1.0,population (equal mix),procedure,1.9443624999999998,0.008987499999999999,0.04926,0.0319025,3.4722875
-1.0,calibrated,interval only,2.52422,0.00369,0.02165,0.02824,3.77818
-1.0,overconfident,interval only,1.03779,0.02443,0.03428,0.04737,3.13121
-1.0,anxious,interval only,2.13035,0.00729,0.0647,0.0295,3.23185
-1.0,fearful,interval only,1.38867,0.00083,0.15219,0.01883,3.37493
-1.0,population (equal mix),interval only,1.7702575,0.009059999999999999,0.06820499999999999,0.030985000000000002,3.3790424999999997
-1.0,calibrated,relief only,3.11878,0.00435,0.04291,0.02773,2.83282
-1.0,overconfident,relief only,-0.38526,0.05069,0.0827,0.06979,1.42066
-1.0,anxious,relief only,2.49687,0.00799,0.12749,0.02713,1.90793
-1.0,fearful,relief only,1.76821,0.00149,0.21701,0.01609,2.04099
-1.0,population (equal mix),relief only,1.74965,0.016130000000000002,0.11752750000000001,0.035185,2.0506
-1.0,population (equal mix),act at once,-41.0,0.5,0.0,0.5,1
-1.0,population (equal mix),never act,0.0,0.0,0.5,0.0,0
-0.5,calibrated,own,4.698345,0.00237,0.01795,0.02707,3.58411
-0.5,overconfident,own,0.93015,0.04501,0.07254,0.06499,1.5417
-0.5,anxious,own,3.299185,0.00853,0.14277,0.02666,1.73443
-0.5,fearful,own,3.689045,0.00052,0.1388,0.0192,2.58351
-0.5,population (equal mix),own,3.15418125,0.0141075,0.093015,0.034480000000000004,2.3609375
-0.5,calibrated,procedure,4.51629,0.00207,0.01127,0.02714,4.18662
-0.5,overconfident,procedure,2.819755,0.02231,0.03093,0.0456,3.17249
-0.5,anxious,procedure,4.127335,0.00546,0.0391,0.0291,3.51653
-0.5,fearful,procedure,4.31286,0.00102,0.03505,0.02492,4.13308
-0.5,population (equal mix),procedure,3.9440600000000003,0.007715,0.029087500000000002,0.03169,3.7521799999999996
-0.5,calibrated,interval only,4.51629,0.00207,0.01127,0.02714,4.18662
-0.5,overconfident,interval only,2.819755,0.02231,0.03093,0.0456,3.17249
-0.5,anxious,interval only,3.90422,0.00671,0.05481,0.02943,3.30516
-0.5,fearful,interval only,4.133045,0.00067,0.05503,0.02352,4.01551
-0.5,population (equal mix),interval only,3.8433275,0.00794,0.03801,0.0314225,3.6699449999999993
-0.5,calibrated,relief only,4.698345,0.00237,0.01795,0.02707,3.58411
-0.5,overconfident,relief only,0.93015,0.04501,0.07254,0.06499,1.5417
-0.5,anxious,relief only,3.848035,0.00682,0.0959,0.02757,2.22473
-0.5,fearful,relief only,4.194305,0.00093,0.08256,0.02235,3.08299
-0.5,population (equal mix),relief only,3.41770875,0.0137825,0.0672375,0.035495,2.6083825
-0.5,population (equal mix),act at once,-40.5,0.5,0.0,0.5,1
-0.5,population (equal mix),never act,0.0,0.0,0.5,0.0,0
-1.0,calibrated,compressed interval,0.278,0.012,0.32672,0.02065,1.0
-1.0,overconfident,compressed interval,-2.5518,0.06776,0.15467,0.0822,1.0
-1.0,anxious,compressed interval,0.278,0.012,0.32672,0.02065,1.0
-1.0,fearful,compressed interval,-0.8172,0.00015,0.48717,0.00106,1.0
-1.0,population (equal mix),compressed interval,-0.70325,0.022977499999999998,0.32382,0.03114,1.0
-0.5,calibrated,compressed interval,0.778,0.012,0.32672,0.02065,1.0
-0.5,overconfident,compressed interval,-2.0518,0.06776,0.15467,0.0822,1.0
-0.5,anxious,compressed interval,0.778,0.012,0.32672,0.02065,1.0
-0.5,fearful,compressed interval,-0.3172,0.00015,0.48717,0.00106,1.0
-0.5,population (equal mix),compressed interval,-0.20325,0.022977499999999998,0.32382,0.03114,1.0
-1.0,calibrated,agent-timed prompt,0.69534,0.0179,0.2243,0.03172,1.42066
-1.0,overconfident,agent-timed prompt,-0.38526,0.05069,0.0827,0.06979,1.42066
-1.0,anxious,agent-timed prompt,0.69534,0.0179,0.2243,0.03172,1.42066
-1.0,fearful,agent-timed prompt,-1.07426,0.00028,0.47378,0.00195,1.42066
-1.0,population (equal mix),agent-timed prompt,-0.017210000000000003,0.0216925,0.25127,0.033795000000000006,1.42066
-0.5,calibrated,agent-timed prompt,1.60255,0.01976,0.19247,0.03519,1.5417
-0.5,overconfident,agent-timed prompt,0.93015,0.04501,0.07254,0.06499,1.5417
-0.5,anxious,agent-timed prompt,1.60255,0.01976,0.19247,0.03519,1.5417
-0.5,fearful,agent-timed prompt,-0.35025,0.00034,0.46839,0.00224,1.5417
-0.5,population (equal mix),agent-timed prompt,0.94625,0.0212175,0.2314675,0.034402499999999996,1.5417
