person,strength,none_missed,relieved_missed,calibrated_missed
anxious,0.25,0.030333333333333334,0.0188842343240907,0.018316666666666665
anxious,0.5,0.043833333333333335,0.019848394175144623,0.018316666666666665
anxious,1.0,0.07473333333333333,0.022009442117162045,0.018316666666666665
anxious,2.0,0.14348333333333332,0.027295697852250816,0.018316666666666665
fearful,25,0.020816666666666667,0.019584252389546152,0.018316666666666665
fearful,50,0.02405,0.019584252389546152,0.018316666666666665
fearful,100,0.03455,0.02021923668203997,0.018316666666666665
fearful,200,0.13905,0.02118842323374106,0.018316666666666665
