p,payoff_calibrated,payoff_overconfident,payoff_anxious,payoff_fearful,missed_calibrated,missed_overconfident,missed_anxious,missed_fearful,pop_payoff,pop_missed
0.0,4.784216666666667,1.0657166666666666,4.544366666666667,3.7190583333333334,0.018316666666666665,0.07293333333333334,0.0517,0.13976666666666668,3.5283395833333335,0.07067916666666667
0.25,4.784216666666667,1.0657166666666666,4.2226,4.002633333333334,0.018316666666666665,0.07293333333333334,0.07455,0.11125,3.5187916666666665,0.0692625
0.5,4.784216666666667,1.0657166666666666,3.9360333333333335,4.258725,0.018316666666666665,0.07293333333333334,0.09741666666666667,0.08296666666666666,3.5111729166666668,0.06790833333333332
0.75,4.784216666666667,1.0657166666666666,3.642425,4.521641666666667,0.018316666666666665,0.07293333333333334,0.1204,0.05435,3.5035,0.0665
1.0,4.784216666666667,1.0657166666666666,3.3874666666666666,4.751125,0.018316666666666665,0.07293333333333334,0.14353333333333335,0.0261,3.4971312500000002,0.06522083333333334
