step_cost,person,device,pay_mean,pay_halfwidth95,pay_diff_vs_own,pay_diff_halfwidth95,avoidable_mean,avoidable_halfwidth95,avoidable_diff_vs_own,avoidable_diff_halfwidth95,missed_mean,missed_halfwidth95,missed_diff_vs_own,missed_diff_halfwidth95
-1.0,fearful,relief only,1.76821,0.09699948962147564,1.27677,0.07136375720384218,0.00149,0.0002390713788592057,0.0011,0.00020545446881337857,0.21701,0.0025549136350482035,-0.15138,0.002221514359132094
-1.0,population (equal mix),agent-timed prompt,-0.01721,0.1030857747070908,-1.4314425,0.05120368911829244,0.0216925,0.00067243078724783,0.0057025,0.000371852473175207,0.25127,0.002100101679229896,0.0920775,0.001167438157772146
-1.0,calibrated,agent-timed prompt,0.69534,0.12681118029934108,-2.42344,0.10742214869395939,0.0179,0.0008217933334378108,0.01355,0.000811131472513955,0.2243,0.0025853525594468868,0.18139,0.002411590099439471
-1.0,overconfident,agent-timed prompt,-0.38526,0.18147816098624384,0.0,0.0,0.05069,0.0013596383829194154,0.0,0.0,0.0827,0.0017071303928820971,0.0,0.0
-1.0,anxious,agent-timed prompt,0.69534,0.12681118029934108,-1.73663,0.10032384903751343,0.0179,0.0008217933334378108,0.00937,0.0007474348539359191,0.2243,0.0025853525594468868,0.08153,0.0023349867401799883
-1.0,fearful,agent-timed prompt,-1.07426,0.03428754976926887,-1.5657,0.066799343421047,0.00028,0.0001036994489925439,-0.00011,0.00014797592417397276,0.47378,0.0030947835501821163,0.10539,0.002160664770677976
-1.0,population (equal mix),compressed interval,-0.70325,0.08841071488216831,-2.1174825,0.06482688368549361,0.0229775,0.0006127236256374599,0.0069875,0.00044303591909207094,0.32382,0.0024528867417994006,0.1646275,0.0014170940151924918
-1.0,calibrated,compressed interval,0.278,0.10217023984230973,-2.84078,0.11551769155307735,0.012,0.0006748812122488715,0.00765,0.000711337149068848,0.32672,0.0029069928256152404,0.28381,0.0028075516157967874
-1.0,overconfident,compressed interval,-2.5518,0.1913351002546528,-2.16654,0.12397734946688131,0.06776,0.0015577896291103254,0.01707,0.0011631731803132643,0.15467,0.0022411680708150417,0.07197,0.0017300383663009004
-1.0,anxious,compressed interval,0.278,0.10217023984230973,-2.15397,0.1015568222877951,0.012,0.0006748812122488715,0.00347,0.0006709408456799928,0.32672,0.0029069928256152404,0.18395,0.0024536347865150294
-1.0,fearful,compressed interval,-0.8172,0.02505639621574645,-1.30864,0.06279965036015583,0.00015,7.590515961337909e-05,-0.00024,0.00013000383166800308,0.48717,0.0030980271726085973,0.11878,0.002009667846703564
-0.5,population (equal mix),own,3.26233875,0.12053807982863758,0.0,0.0,0.01389,0.0004347321133370568,0.0,0.0,0.0843175,0.0014149273169248733,0.0,0.0
-0.5,calibrated,own,4.698345,0.12529628157815134,0.0,0.0,0.00237,0.00030138189972208815,0.0,0.0,0.01795,0.0008229193403501993,0.0,0.0
-0.5,overconfident,own,0.93015,0.17649520632201368,0.0,0.0,0.04501,0.0012850267291754467,0.0,0.0,0.07254,0.0016076615040142982,0.0,0.0
-0.5,anxious,own,3.731815,0.12404248092319577,0.0,0.0,0.00766,0.0005403844911767759,0.0,0.0,0.10798,0.0019236107715797405,0.0,0.0
-0.5,fearful,own,3.689045,0.10668249069471641,0.0,0.0,0.00052,0.00014130156395072112,0.0,0.0,0.1388,0.002142915205465624,0.0,0.0
-0.5,population (equal mix),procedure,3.97576,0.1261154864297525,0.71342125,0.045359772259830344,0.007545,0.0003558145548562825,-0.006345,0.0003170882128760819,0.0272825,0.0008372314456875328,-0.057035,0.0010933228903895805
-0.5,calibrated,procedure,4.51629,0.1258038767240768,-0.182055,0.01946996576183788,0.00207,0.00028170428618437554,-0.0003,0.00012394795759092565,0.01127,0.0006542730876066441,-0.00668,0.0005064028735308511
-0.5,overconfident,procedure,2.819755,0.15386750924983125,1.889605,0.11261278657600454,0.02231,0.0009153951657429127,-0.0227,0.001082179435437259,0.03093,0.001073064376388089,-0.04161,0.0013581978088994548
-0.5,anxious,procedure,4.254135,0.1282312700231137,0.52232,0.06542454341249718,0.00478,0.0004274956881551367,-0.00288,0.00043965888519277444,0.03188,0.0010888849500263762,-0.0761,0.0016565131563010208
-0.5,fearful,procedure,4.31286,0.1210692593611479,0.623815,0.05904804725944917,0.00102,0.00019785030563796056,0.0005,0.00014130433705005906,0.03505,0.0011398682559648763,-0.10375,0.001890225336968649
-0.5,population (equal mix),interval only,3.88549125,0.12519645333736007,0.6231525,0.04392861553252019,0.00775,0.0003593392133440246,-0.00614,0.00031166931761730316,0.03522,0.0009770024972354963,-0.0490975,0.0010532898357634905
-0.5,calibrated,interval only,4.51629,0.1258038767240768,-0.182055,0.01946996576183788,0.00207,0.00028170428618437554,-0.0003,0.00012394795759092565,0.01127,0.0006542730876066441,-0.00668,0.0005064028735308511
-0.5,overconfident,interval only,2.819755,0.15386750924983125,1.889605,0.11261278657600454,0.02231,0.0009153951657429127,-0.0227,0.001082179435437259,0.03093,0.001073064376388089,-0.04161,0.0013581978088994548
-0.5,anxious,interval only,4.072875,0.1289786093424969,0.34106,0.06020163578502244,0.00595,0.0004766733155259452,-0.00171,0.00039818002617877815,0.04365,0.0012663647056182813,-0.06433,0.0015397202655166161
-0.5,fearful,interval only,4.133045,0.11793248855941801,0.444,0.05201714021486342,0.00067,0.0001603799621989067,0.00015,8.080792621525063e-05,0.05503,0.0014134062578742524,-0.08377,0.001717359950413888
-0.5,population (equal mix),relief only,3.49191125,0.12323980485642697,0.2295725,0.015413408794855945,0.013565,0.00042749969493824396,-0.000325,8.196834448794839e-05,0.0617575,0.0011609296419660563,-0.02256,0.0004448421937588356
