person,condition,steps,anxiety_endured,expected_blame,missed,payoff
anxious,none,1.7336666666666667,3.4673333333333334,0.0,0.14131666666666667,3.516166666666667
anxious,drew wait (θ=relief),2.713503771443829,1.6281022628662976,0.0,0.04916227221146786,4.594119217675723
anxious,drew go (θ=relief),1.7305413143351756,3.461082628670351,0.0,0.14012251148545177,3.487216192822425
fearful,none,2.582333333333333,0.0,3.523333333333333,0.13755,3.8385
fearful,drew wait (θ=relief),2.5839062812896336,0.0,3.431012615980242,0.13824177291235565,3.892613977705093
fearful,drew go (θ=relief),3.5833277848059124,0.0,1.460150476063653,0.025001664558226246,4.784006924562221
